image :1method :1
P =[-0.17457967, 0.05304192, 0.038996909, 0.24937588;
  -0.059199199, -0.074626312, -0.16128884, -0.93161762;
  -2.9193963e-05, -0.00023768893, 0.00013203622, -0.00067912007]

0. [285.12 14.91]  [289.76422; 12.006159]  error is : 5.47733
1. [148.91 158.16]  [150.26375; 158.23647]  error is : 1.3559
2. [283.54 9.41]  [288.16956; 6.5550022]  error is : 5.43909
3. [283.54 9.41]  [288.16956; 6.5550022]  error is : 5.43909
4. [278.01 -74.38]  [280.49652; -80.56411]  error is : 6.66528
5. [278.01 -74.38]  [280.46375; -80.612579]  error is : 6.6982
6. [243.92 100.51]  [249.6129; 100.09653]  error is : 5.7079
7. [285.12 14.91]  [289.84375; 12.028722]  error is : 5.53314
8. [251.19 152.17]  [258.67084; 155.15221]  error is : 8.05335
9. [251.19 152.17]  [258.68872; 155.34697]  error is : 8.14395
10. [269.28 145.73]  [278.79578; 147.7287]  error is : 9.72342
11. [212.95 157.42]  [218.57967; 160.06041]  error is : 6.21811
12. [271.16 -66.06]  [273.00613; -71.132477]  error is : 5.39798
13. [241.24 182.97]  [249.05092; 188.06584]  error is : 9.3262
14. [180.51 192.21]  [185.42719; 196.04706]  error is : 6.23712
15. [234.72 169.76]  [242.09587; 173.70094]  error is : 8.36269
16. [188.32 181.03]  [192.37933; 185.33636]  error is : 5.91802
17. [188.32 181.03]  [192.37933; 185.33636]  error is : 5.91802
18. [-174.52 -153.14]  [-174.67303; -153.09238]  error is : 0.160269
19. [-169.34 -164.24]  [-170.08284; -164.33057]  error is : 0.748343
20. [-19.52 -155.26]  [-21.278765; -156.2019]  error is : 1.99511
21. [-19.52 -155.26]  [-21.278765; -156.2019]  error is : 1.99511
22. [176.92 -104.24]  [174.93729; -108.2978]  error is : 4.51629
23. [272.02 -56.23]  [274.3093; -61.416954]  error is : 5.66969
24. [234.7 176.3]  [242.21193; 180.73001]  error is : 8.7209
25. [-79.62 -62.62]  [-79.253212; -63.546783]  error is : 0.996727
26. [-183.28 -152.83]  [-183.5867; -152.80569]  error is : 0.307663
27. [-126.59 -152.59]  [-127.30546; -152.59398]  error is : 0.715473
28. [-126.59 -152.59]  [-127.30546; -152.59398]  error is : 0.715473
29. [-173.32 -164.64]  [-173.90947; -164.5582]  error is : 0.595111
30. [-63.55 -135.56]  [-65.003998; -136.1637]  error is : 1.57435
31. [-63.55 -135.56]  [-65.003998; -136.1637]  error is : 1.57435
32. [-62.05 -139.5]  [-63.391346; -140.14006]  error is : 1.48623
33. [264.81 28.03]  [268.68146; 25.526672]  error is : 4.6103
34. [134.87 -125.38]  [132.345; -129.07188]  error is : 4.47276
35. [92.44 -169.93]  [89.400505; -172.82982]  error is : 4.2009
36. [117.48 -160.12]  [114.6099; -163.35825]  error is : 4.3271
37. [189.02 -140.34]  [187.67873; -145.42964]  error is : 5.26341
38. [118.88 -181.7]  [116.18905; -185.52541]  error is : 4.67707
39. [127.74 -209.51]  [124.72697; -213.71687]  error is : 5.17457
40. [125.26 -218.43]  [122.43087; -223.47827]  error is : 5.78698
41. [-30.43 104.91]  [-29.747093; 103.83906]  error is : 1.27015
42. [-32.37 100.88]  [-31.635036; 99.950348]  error is : 1.18508
43. [146.18 210.8]  [149.69958; 215.15018]  error is : 5.59567
44. [201.79 153.1]  [206.17914; 154.96649]  error is : 4.76952
45. [256.92 152.96]  [264.74579; 156.14211]  error is : 8.44799
46. [-130.44 -149.39]  [-130.7569; -149.60771]  error is : 0.384475
47. [-122.32 -156.2]  [-123.00238; -156.31268]  error is : 0.691622
48. [-66.81 -141.98]  [-68.151909; -142.48328]  error is : 1.43318
49. [263.24 23.63]  [267.11993; 20.785852]  error is : 4.81073
50. [277.34 10.03]  [281.46317; 7.0332565]  error is : 5.09716
51. [293.34 2.82]  [298.61917; -0.54077703]  error is : 6.25816
52. [132.29 -116.36]  [129.61931; -119.92515]  error is : 4.45453
53. [130.51 -126.84]  [128.26424; -130.03621]  error is : 3.9063
54. [228.19 -89.82]  [228.10739; -94.768066]  error is : 4.94876
55. [210.9 -100.72]  [210.40608; -106.05824]  error is : 5.36104
56. [100.56 -167.01]  [97.415451; -170.13972]  error is : 4.4366
57. [100.56 -167.01]  [97.45948; -170.17065]  error is : 4.42753
58. [201.41 -111.85]  [199.80229; -116.34576]  error is : 4.77458
59. [110.22 -190.93]  [107.50126; -194.45738]  error is : 4.45354
60. [107.84 -193.41]  [105.04704; -197.07756]  error is : 4.60995
61. [114.83 -190.52]  [111.91893; -194.45033]  error is : 4.89099
62. [157.98 -184.49]  [155.76898; -189.25183]  error is : 5.2501
63. [121.6 -211.65]  [118.57; -215.79987]  error is : 5.13832
64. [144.6 196.5]  [148.64592; 200.1687]  error is : 5.46157
65. [206.4 175.36]  [214.20816; 178.76656]  error is : 8.51892
66. [241.77 170.62]  [249.8644; 175.14151]  error is : 9.27164
67. [232.46 70.9]  [236.15347; 69.240517]  error is : 4.04915
68. [232.46 70.9]  [236.07774; 69.433411]  error is : 3.9037
69. [-136.18 -161.81]  [-136.31435; -161.89133]  error is : 0.157052
70. [238.64 8.33]  [240.38733; 4.7238622]  error is : 4.00717
71. [-161.04 -196.04]  [-162.98625; -197.92096]  error is : 2.70665
72. [188.82 -121.26]  [187.45317; -125.28739]  error is : 4.25301
73. [146.25 -158.27]  [143.84743; -162.2144]  error is : 4.61851
74. [118.92 -192.23]  [115.74069; -196.26723]  error is : 5.1388
75. [1.39 -227.78]  [-2.1250162; -229.90283]  error is : 4.10631
76. [160.86 189.54]  [164.2; 192.88359]  error is : 4.72602
77. [182.23 175.83]  [186.14488; 179.59146]  error is : 5.42908
78. [182.23 175.83]  [186.01054; 179.63654]  error is : 5.36491
79. [214.08 142.92]  [218.67177; 144.34332]  error is : 4.8073
80. [-137.51 -156.1]  [-138.29659; -156.114]  error is : 0.786715
81. [259.79 -32.78]  [260.76428; -37.269413]  error is : 4.59391
82. [191.55 -125.2]  [189.92798; -129.87831]  error is : 4.95152
83. [202.57 -120.52]  [201.36336; -125.4552]  error is : 5.08057
84. [149.16 186.84]  [152.61992; 189.62459]  error is : 4.44128
85. [192.53 188.75]  [197.76492; 193.05495]  error is : 6.77768
86. [229.7 213.25]  [238.2011; 219.99185]  error is : 10.8499
87. [223.84 190.7]  [230.65933; 195.99918]  error is : 8.63624
88. [-127.61 -160.53]  [-128.18454; -160.70097]  error is : 0.599439
89. [-114.86 -221.26]  [-117.00417; -221.95361]  error is : 2.25357
90. [184.28 -111.82]  [182.4342; -116.10421]  error is : 4.66491
91. [175.54 168.56]  [179.39613; 170.86174]  error is : 4.49086
92. [206.77 146.61]  [211.32121; 148.18118]  error is : 4.81478
93. [34.96 17.34]  [30.583; 15.213754]  error is : 4.86611
94. [273.04 -73.44]  [275.04703; -78.984047]  error is : 5.89615
95. [281.83 128.67]  [290.88025; 130.83932]  error is : 9.30662
96. [-268.72 -2.33]  [-268.52704; -2.4051178]  error is : 0.207068
97. [-245.07 -20.05]  [-244.62006; -20.405291]  error is : 0.573313
98. [-252.2 -29.27]  [-251.69536; -29.482374]  error is : 0.547506
99. [-7.14 8.97]  [-10.071231; 7.7154803]  error is : 3.18841
100. [272.02 -56.23]  [274.26486; -60.877384]  error is : 5.16117
101. [102.71 -187.99]  [99.830284; -191.51321]  error is : 4.55036
102. [116.42 -184.55]  [113.45518; -188.2755]  error is : 4.76125
103. [127.74 -209.51]  [124.65801; -213.99466]  error is : 5.44159
104. [173.85 58.22]  [174.30923; 56.556347]  error is : 1.72587
105. [-266.34 -48.75]  [-266.0835; -48.792667]  error is : 0.260025
106. [-311.66 -61.22]  [-312.27011; -61.138321]  error is : 0.615551
107. [254.81 27.77]  [258.19595; 25.150534]  error is : 4.28092
108. [-238.3 -80.38]  [-237.73457; -80.468842]  error is : 0.572367
109. [-279.02 -90.85]  [-279.07809; -90.779114]  error is : 0.0916563
110. [-279.02 -90.85]  [-279.07809; -90.779114]  error is : 0.0916563
111. [289.1 1.52]  [293.95163; -2.5670197]  error is : 6.34366
112. [185.57 -100.6]  [184.29231; -104.68104]  error is : 4.27638
113. [138.49 -143.46]  [136.15273; -147.33896]  error is : 4.5287
114. [154.87 -164.51]  [152.54596; -168.87637]  error is : 4.94635
