image :1method :3
P =[-0.1759028, 0.053450912, 0.039890643, 0.2511948;
  -0.0605391, -0.075328194, -0.1607649, -0.93076617;
  -4.3305805e-05, -0.00022994775, 0.00013205157, -0.00068015547]

  inlier threshold  :0.5  no_of_inliers :549
error = 2.97314
Ground data       :       projected points
87. [223.84 190.7]  [229.58672; 195.43715]  error is : 7.44751
88. [-127.61 -160.53]  [-129.68321; -162.04909]  error is : 2.57018
89. [-114.86 -221.26]  [-117.66992; -224.27322]  error is : 4.1201
90. [184.28 -111.82]  [183.99973; -111.62862]  error is : 0.339383
91. [175.54 168.56]  [179.9592; 171.67307]  error is : 5.4056
92. [206.77 146.61]  [211.07794; 148.8372]  error is : 4.84961
93. [34.96 17.34]  [33.087288; 17.006958]  error is : 1.90209
94. [273.04 -73.44]  [273.2493; -73.970444]  error is : 0.570237
95. [281.83 128.67]  [287.47876; 130.73552]  error is : 6.01457
96. [-268.72 -2.33]  [-277.96518; -1.1146688]  error is : 9.32472
97. [-245.07 -20.05]  [-252.68329; -19.487118]  error is : 7.63406
98. [-252.2 -29.27]  [-260.13254; -28.939606]  error is : 7.93942
99. [-7.14 8.97]  [-7.7342372; 9.3080244]  error is : 0.683651
100. [272.02 -56.23]  [272.42203; -56.280064]  error is : 0.405144
101. [102.71 -187.99]  [102.82798; -188.16035]  error is : 0.207216
102. [116.42 -184.55]  [116.35886; -184.61105]  error is : 0.0863977
103. [127.74 -209.51]  [127.5498; -209.96872]  error is : 0.496593
104. [173.85 58.22]  [175.3949; 58.899422]  error is : 1.68769
105. [-266.34 -48.75]  [-275.10706; -49.113987]  error is : 8.77461
106. [-311.66 -61.22]  [-324.42154; -62.429817]  error is : 12.8188
107. [254.81 27.77]  [256.71863; 27.810061]  error is : 1.90905
108. [-238.3 -80.38]  [-245.00468; -81.481804]  error is : 6.79461
109. [-279.02 -90.85]  [-288.69308; -92.739624]  error is : 9.85594
110. [-279.02 -90.85]  [-288.69308; -92.739624]  error is : 9.85594
111. [289.1 1.52]  [290.97699; 0.75705653]  error is : 2.02612
112. [185.57 -100.6]  [185.77248; -100.30988]  error is : 0.353787
113. [138.49 -143.46]  [138.68234; -143.37405]  error is : 0.210669
114. [154.87 -164.51]  [154.90265; -164.442]  error is : 0.0754277
115. [-216.69 12.55]  [-222.3644; 14.492606]  error is : 5.9977
