image :1method :2
P =[0.17402875, -0.05408809, -0.040565643, -0.25649726;
88. [-127.61 -160.53]  [-126.83395; -159.86955]  error is : 1.01904
89. [-114.86 -221.26]  [-115.11469; -221.58133]  error is : 0.410025
90. [184.28 -111.82]  [183.02765; -112.2467]  error is : 1.32305
91. [175.54 168.56]  [174.62291; 168.82883]  error is : 0.955673
92. [206.77 146.61]  [206.23003; 146.93701]  error is : 0.631279
93. [34.96 17.34]  [31.432274; 16.913567]  error is : 3.55341
94. [273.04 -73.44]  [273.62781; -74.679276]  error is : 1.37161
95. [281.83 128.67]  [284.12701; 130.31218]  error is : 2.82367
96. [-268.72 -2.33]  [-268.61722; -2.313226]  error is : 0.104143
97. [-245.07 -20.05]  [-244.58347; -20.169039]  error is : 0.500892
98. [-252.2 -29.27]  [-251.72023; -29.256927]  error is : 0.479945
99. [-7.14 8.97]  [-8.7648478; 9.3584824]  error is : 1.67064
100. [272.02 -56.23]  [272.4379; -56.833729]  error is : 0.734259
101. [102.71 -187.99]  [102.23606; -188.36327]  error is : 0.603275
102. [116.42 -184.55]  [115.77219; -184.96124]  error is : 0.767312
103. [127.74 -209.51]  [127.36842; -210.62994]  error is : 1.17998
104. [173.85 58.22]  [171.79314; 57.77647]  error is : 2.10415
105. [-266.34 -48.75]  [-266.21036; -48.60416]  error is : 0.195129
106. [-311.66 -61.22]  [-313.04648; -61.261585]  error is : 1.3871
107. [254.81 27.77]  [254.6823; 27.466587]  error is : 0.329192
108. [-238.3 -80.38]  [-237.61494; -80.167183]  error is : 0.717353
109. [-279.02 -90.85]  [-279.43274; -90.791313]  error is : 0.416901
110. [-279.02 -90.85]  [-279.43274; -90.791313]  error is : 0.416901
111. [289.1 1.52]  [290.315; 0.54940021]  error is : 1.55508
112. [185.57 -100.6]  [184.6438; -100.8933]  error is : 0.97154
113. [138.49 -143.46]  [137.68315; -143.78717]  error is : 0.870661
114. [154.87 -164.51]  [154.36815; -165.11031]  error is : 0.782447
115. [-216.69 12.55]  [-215.61742; 12.501843]  error is : 1.07367
116. [295.24 126.72]  [297.6698; 128.26074]  error is : 2.87713
117. [-264.44 -3.9]  [-264.32437; -3.9357071]  error is : 0.121019
118. [-268.47 -6.01]  [-268.43991; -6.2161703]  error is : 0.208354
119. [-265.98 -10.01]  [-265.85168; -10.114156]  error is : 0.165276
120. [-303.33 -25.52]  [-304.40125; -25.670105]  error is : 1.08172
121. [-298.03 -32.79]  [-298.69107; -32.738155]  error is : 0.663102
122. [-238.38 -40.22]  [-237.56795; -40.181393]  error is : 0.812975
123. [-272.62 -54.89]  [-272.61713; -54.74802]  error is : 0.142008
124. [-272.62 -54.89]  [-272.61713; -54.74802]  error is : 0.142008
125. [-296.9 -68.36]  [-297.64267; -68.62442]  error is : 0.788343
126. [171.56 -0.15]  [168.83316; -0.23116058]  error is : 2.72804
127. [171.5 -13.16]  [168.90665; -12.998854]  error is : 2.59836
128. [158.66 -20.5]  [155.53027; -20.151072]  error is : 3.14912
129. [-293.04 -116.9]  [-294.14499; -117.58501]  error is : 1.30009
130. [124.81 -184.72]  [124.55047; -185.26118]  error is : 0.600196
